1.5545	Most refugees were women, children, elderly, or disabled.	大多数难民是妇女、儿童、老人或残疾人。
1.0461	In September 2023, Ukrainian intelligence estimated that Russia had deployed over 420,000 troops in Ukraine.	2023年，俄罗斯再度增兵20万人。
1.0459	According to the Office of the United Nations High Commissioner for Human Rights, 6,500 were Russian proxy forces, 4,400 were Ukrainian forces, and 3,404 were civilians on both sides of the frontline.	乌克兰国家紧急事务局表示，此次袭击造成2名平民死亡，6人受伤。
1.0458	On Feb 24, the Chinese Ministry of Foreign Affairs published as a 12-point position paper on its website titled "China’s Position on the Political Settlement of the Ukraine Crisis", getting mixed responses from Western leaders.	建议文件题为《关于政治解决乌克兰危机的中国立场》，于2月24日，也就是俄罗斯入侵乌克兰一周年当天发布。
1.0455	Some prominent Russian lawmakers called on the government to deny prisoner exchanges for members of the Azov Regiment.	俄罗斯之后也修改宪法允许前囚犯被征召入伍。
1.0454	The United States looks to build "enduring strength in Ukraine" with increased arms shipments and a record-breaking $3 billion military aid package.	截至当天美国已向乌克兰提供超过30亿美元的军备。
1.0454	Combat mosquitoes ====	击毁豹2坦克相关视频
1.0454	In May 2023, the EU discussed placing sanctions on companies from China and five other countries for selling equipment that could be used in weapons by Russia.	3月，美国准备联合其他国家将俄罗斯从G20中除名，但中国政府表示反对这一计划。
1.0445	US and European officials said there was no evidence China itself was supplying weapons to Russia.	中国也没有打算提供武器给俄罗斯。
1.0445	A Taiwanese research group accused Chinese media of "regularly quoting disinformation and conspiracy theories from Russian sources".In March 2022, China Global Television Network (CGTN) paid for digital ads on Facebook targeting users with newscasts featuring pro-Kremlin talking points after Meta Platforms banned Russian state media advertisements.	Meta于2022年9月宣布，自2月以来，它已经删除了由中国和俄罗斯组成的数百个虚假账户组成的虚假账户网络。
1.0445	Russian Ground Forces started recruiting volunteer battalions from the regions in June 2022 to create a new 3rd Army Corps within the Western Military District, with a planned strength estimated at 15,500–60,000 personnel.	2022年3月下旬，俄罗斯军队改变最初闪击战的策略撤出基辅地区，改为加强在顿巴斯地区兵力和攻势。
1.0443	The Chinese government denied the allegations, stating that the goal of "this kind of rhetoric is to divert attention and shift blame, which is utterly despicable."The Chinese government did not inform its citizens to take refuge until 25 February 2022, after the bombing started, and the Chinese embassy in Ukraine advised Chinese citizens to leave Ukraine immediately.	2月25日，中国驻乌克兰使馆发布《关于请拟自乌克兰撤离中国公民进行登记的紧急通知》紧急通知，并启动撤离预案，在27日确定将由大使馆人员撤离六千余名人员。
1.0441	On 26 April, delegates from the US and 40 allied nations met at Ramstein Air Base in Germany to discuss the formation of a coalition that would provide economic support in addition to military supplies and refitting to Ukraine.	2月28日，中华航空运载27吨药品、医疗器材等人道救援医疗物资在桃园国际机场起飞，运往德国法兰克福，再经由适当管道送交乌克兰使用。
1.0440	On the morning of 8 October 2022, the Kerch Bridge linking occupied Crimea to Russia, partially collapsed due to an explosion.	2022年4月8日，俄乌战争期间，位于乌克兰顿涅茨克州克拉马托尔斯克市的火车站遭到俄军空袭，造成59人死亡。
1.0440	However, there have been no credible evidence that he existed.	不过他也认为这不可能。
1.0439	Chinese government ==	中国政府反驳了上述观点。
1.0439	On 24 March, Ukraine ordered troops to withdraw; by 30 March, all Ukrainian forces had left the peninsula.	3月24日，乌克兰临时政府宣布根据国家安全与国防事务委决定，下令撤军。
1.0439	Russian president Vladimir Putin criticized the enlargement of NATO and demanded that Ukraine be barred from ever joining the military alliance.	弗拉基米尔·普京强烈反对两国申请北约成员资格，俄罗斯外长谢尔盖·维克托罗维奇·拉夫罗夫表示，俄罗斯将竭尽所能阻止乌克兰和格鲁吉亚加入北约。
1.0439	These claims were repeated in Russian media to justify the war.	这些虚假网络冒充热门的新闻机构，以发布批评欧洲国家在战争期间支持乌克兰的虚假信息。
1.0438	Prior to his visit to Russia on 20-22 March 2023, Xi Jinping said China's peace proposal to end the Russo-Ukrainian War reflected world opinion.	2023年3月22日，中华人民共和国最高领导人习近平访问俄罗斯，期间提出了和平倡议。
1.0438	Following the 2023 Shangri-La Dialogue, Ukrainian Defense Minister Oleksii Reznikov said that the peace plans presented by other countries such as China were attempts to mediate on behalf of Russia and that Ukraine is willing to accept a mediator only if the Russians can be convinced to withdraw from all Ukrainian territories.	2023年6月，乌克兰国防部长奥列克西·雷兹尼科夫表示，中国、巴西和印度尼西亚提出的和平计划是代表俄罗斯进行调解的尝试，并表示“他们目前都想成为俄罗斯一方的调解人。
1.0438	On 19 September Biden warned of a "consequential response from the U.S." Before the United Nations on 21 September he criticized Putin's nuclear sabre-rattling, calling Putin was "overt, reckless and irresponsible...	美国政治新闻媒体Politico 2月11日报道“Putin could attack Ukraine on Feb. 16, Biden told allies”（中译：拜登告知盟友，普京可能会在2月16日入侵乌克兰），称俄罗斯可能最快将在2月16日入侵乌克兰，在入侵前可能进行网络攻击以及导弹攻击，克里姆林宫声明，美国忽视俄罗斯的主要关切，“俄罗斯侵略乌克兰”的论调是一种炒作。
1.0434	From late February 2014, demonstrations by pro-Russian and anti-government groups took place in major cities across the eastern and southern regions of Ukraine.	自2014年俄乌冲突以来，乌克兰和俄罗斯的信息战宣传目标都为宣称另一方有严重侵犯人权的行为。
1.0432	However, counteroffensive operations have faced stiff resistance from Russia, and the American think tank Institute for the Study of War called the Russian defensive effort as having "an uncharacteristic degree of coherency."	华盛顿战略与国际中心专家表示，中国在其外交辞令中谨慎地表达对俄罗斯的支持，但研判并未真正支持俄罗斯动用武力。
1.0431	Putin announced a "special military operation" to "demilitarize and denazify" Ukraine, claiming Russia had no plans to occupy the country.	俄罗斯总统弗拉基米尔·普京同日凌晨下令全面入侵乌克兰，声称将对乌克兰进行“非军事化”和“去纳粹化”。
1.0429	Russian officials repeatedly denied plans to attack Ukraine.	俄罗斯官员在没有与乌克兰代表会面的情况下表示乌克兰拒绝谈判。
1.0429	However, in April 2022, three U.S. officials told NBC News that there is no evidence of Russia bringing chemical weapons near to Ukraine, and that the intelligence was released to deter Russia from using chemical weapons.U.S. officials had said that Russia had turned to China for potential military assistance, a claim one European official and two U.S. officials told NBC lacked hard evidence.	2022年3月9日，俄罗斯塔斯社题为《外交官表示乌克兰的生化武器实验室证明美国的犯罪活动》（"Bioweapon labs in Ukraine prove US criminal activity, diplomat says"）的报道引述了俄外交部发言人玛丽亚·扎哈罗娃的言论，指美国国务院政治事务副国务卿卢岚曾向美国国会议员承认美国在乌克兰有实验室，而且还在进行研究，提醒大家需要防止研究证据落入俄罗斯手中。
1.0415	An emboldened Kyiv launched a counteroffensive 12 September around Kharkiv successful enough to make Russia admit losing key positions and for The New York Times to say that it dented the image of a "Mighty Putin".	3月28日，普京向俄军表示祝贺，称克里米亚事件是对俄军的一次严峻考验，他们在这个过程中展示了“新能力”和崇高的道德精神。
1.0411	Zelenskyy proposed negotiating two separate documents, one being a bilateral agreement between Ukraine and Russia, and the other involving Ukraine and the West.	泽连斯基赞成中国与乌克兰之间举行会谈。
1.0409	The Economist has stated that China's professed neutrality is in reality a pro-Russian pseudo-neutrality.	给人的印象是，俄罗斯完全支持中国，而中国则不置可否。
1.0407	A fourth and fifth round of talks were respectively held on 10 and 14 March in Antalya, Turkey.	3月29日，俄乌双方在土耳其举行第五轮谈判。
1.0406	Lula’s foreign policy adviser Celso Amorim said that "[a]s long as there are no talks, the ideal peace for the Ukrainians and the Russians will not happen.	梅尔尼克还指出，任何脆弱的停火协议和腐朽的妥协不能确保乌克兰所有人的稳定和平，任何关于谈判的讨论也完全是无稽之谈，因为俄罗斯人根本就不想谈判。
1.0405	Immediately after the invasion began, Zelenskyy declared martial law in Ukraine.	乌克兰总统泽连斯基随着宣布乌克兰与叙利亚断绝关系。
1.0403	There must be concessions."	和平将会实现 -- 按照我们的条件。”
1.0401	The old car's registration plate was that of the separatist police chief, but the same licence plate was also seen on a different, new SUV.On 22 February 2022, the Russian people's militias in Ukraine accused Ukraine of a "terrorist attack" which killed three civilians in a car on the Donetsk-Gorlovka highway.	2022年10月1日，乌克兰安全局代理负责人瓦西尔·马柳克表示，乌克兰安全局正在调查俄罗斯军队的另一起战争罪行——9月底，在卢甘斯克州的斯瓦托沃和哈尔科夫州的库皮扬斯克解放区之间的 "灰色地带"俄罗斯军队射击了一个由7辆车组成的平民车队，至少有24人死亡，其中13人是儿童。
1.0401	Russia's demands were Ukraine's recognition of Russian-occupied Crimea, independence for separatist-controlled Luhansk and Donetsk, and "de-militarisation" and "de-Nazification".	克里米亚危机时，亲俄分子在哈尔科夫、敖德萨、顿内次克、卢汉斯克暴动宣布“独立建国”，在哈尔科夫和敖德萨侵占政府建筑的武装分子很快被消灭。
1.0400	It has been widely rejected as untrue and crafted to justify the invasion and even to justify genocidal acts against Ukrainians.	乌克兰痛批“完全不道德”，宣称俄军炮火丝毫未减，甚至故意瞄准人道走廊，造成无辜平民身亡。
1.0398	Ukraine denied responsibility.	乌克兰随即与之断绝关系。
1.0398	In April 2022, Russian state-owned news agency RIA Novosti published an article by Timofey Sergeytsev, "What Russia should do with Ukraine", where he argued that Ukraine and Ukrainian national identity must be wiped out, because he claimed most Ukrainians are at least "passive Nazis".	2022年2月24日，俄罗斯总统新闻秘书佩斯科夫称“去纳粹化”意味着“解救乌克兰，让它摆脱纳粹分子、亲纳粹人士和亲纳粹思想。”
1.0398	Russia refused to allow OSCE to expand its mission beyond two border crossings.	4月2日，俄罗斯表示，在俄罗斯制裁被解除前，它不会与其他国家在国际空间站上进行合作。
1.0395	The U.S. also said Chinese-made ammunition has been used in Ukraine, although it was unclear who supplied it.	同日，美国国防部发言人表示乌克兰从盟国获得战斗机和零部件，但没有透露国家的名字以及战斗机和零件数量。
1.0389	On 1 August, Iceland became the first European country to close its embassy in Russia as a result of the invasion of Ukraine.	8月11日开始，欧盟对俄罗斯煤炭禁运生效。
1.0388	Political reactions to the invasion included new sanctions imposed on Russia, which triggered widespread economic effects on the Russian and world economies.	在经济或军事上向俄罗斯提供更多帮助可能会导致与西方的制裁发生冲突，危及中国经济。
1.0387	Before 5 a.m. Kyiv time on February 24, Putin in another speech announced, a "special military operation", which "effectively declar[ed] war on Ukraine."	2022年2月24日清晨，普京再次发表全国电视演说，认为乌克兰已对俄罗斯构成安全威胁，宣告以“去军事化”及“去纳粹化”为名对乌克兰采取“目的为自卫”的“特别军事行动”（俄语：Специальная военная операция）。
1.0387	These demands were widely seen as non-viable;	这一使命涉及数趟行程，被认为是梵蒂冈一个极不寻常的外交举动。
1.0384	On 24 February 2022, Russia began the Russian invasion of Ukraine as an escalation of the ongoing Russo-Ukrainian War.	2022年2月24日，俄罗斯袭击乌克兰当下，乌克兰宣布与俄罗斯断绝关系。
1.0383	British journalist Edward Lucas described it as historical revisionism.	然而卢宇光在对此事的再次回应中，历史性地创造了“CIA修车工”一词。
1.0383	On 7 March 2022, the Chinese government stated that it had evacuated most Chinese citizens trapped on the battlefield.	3月3日，中国驻敖德萨总领馆发布关于组织第三批自敖德萨撤离中国公民的通知，符合资格的中国公民将获安排撤离。
1.0382	In May 2023, European Union (EU) officials reportedly criticized China's peace plan as an attempt at "freezing" the conflict in place and splitting the West in pushing Ukraine cease-fire.	2023年2月8日，在习近平筹备访问莫斯科的背景下，中国驻欧盟大使傅聪发表批评“西方意图帮助乌克兰取得胜利相当于冲突可能升级”。
1.0382	The Russian government denied the skirmish took place, but on 18 August, the 76th was awarded the Order of Suvorov, one of Russia's highest awards, by Russian minister of defence Sergey Shoigu for the "successful completion of military missions" and "courage and heroism".The speaker of Russia's upper house of parliament and Russian state television channels acknowledged that Russian soldiers entered Ukraine, but referred to them as "volunteers".	起初乌克兰官方宣称守岛士兵共计13人全部阵亡，总统泽连斯基甚至向这13名士兵授予乌克兰英雄勋章，乌军抵抗时喊出的“俄罗斯军舰，去你妈的”也成为乌克兰反对俄罗斯占领者的斗争标志之一。
1.0382	On 24 February, the State Border Guard Service of Ukraine announced that Russian Navy ships had begun an attack on Snake Island.	2022年2月24日，乌克兰蛇岛遭到俄罗斯海军进攻，最终失守。
1.0381	Everything now depends on what [the west] gives us.	这说明北京在追随西方。
1.0380	US general Philip M. Breedlove said "Russian tanks, Russian artillery, Russian air defence systems and Russian combat troops" had been sighted.	克里姆林宫表示，俄罗斯空天军、南部军区、俄罗斯战略火箭军、北方舰队和黑海舰队参与演习。
1.0380	On 10 June 2022, deputy head of the SBU Vadym Skibitsky stated that during the Severodonetsk campaign, the frontlines were where the future of the invasion would be decided: "This is an artillery war now, and we are losing in terms of artillery.	2022年3月，俄罗斯联邦共产党代表谢尔盖·萨沃斯蒂亚诺夫表示：
1.0379	By 3 March, Ukrainian forces in Mykolaiv scuttled the frigate Hetman Sahaidachny, the flagship of the Ukrainian navy, to prevent its capture by Russian forces.	3月3日，俄罗斯国防部引述俄罗斯卫星通讯社消息，乌克兰新纳粹分子向试图离开哈尔科夫的中国公民开枪，造成两人重伤。
1.0375	In late September 2022, Russian-installed officials in Ukraine organised referendums on the annexation of the occupied territories of Ukraine.	2022年3月10日，乌克兰总统泽连斯基签署关于强制没收俄罗斯籍居民在乌克兰财产的法律。
1.0375	In mid-October, Russian forces launched missile strikes against Ukrainian infrastructure, intended to knock out energy facilities.	拂晓前，俄军使用高精度武器攻击乌克兰军事基础设施、防空系统以及空军，登陆乌克兰南部海岸。
1.0374	International aspects	他还表示自己理解中国与西方世界存在不同的利益。
1.0372	On 21 September 2022, Vladimir Putin announced a partial mobilisation and minister of defence Sergei Shoigu said 300,000 reservists would be called.	9月21日，俄罗斯总统普京下令局部动员，并命令将预备役军人转为现役和增加武器生产，这是俄罗斯在二战后首次进行动员。
1.0370	Until 2014 Ukraine was the main transit route for Russian natural gas sold to Europe, which earned Ukraine about US$3 billion a year in transit fees, making it the country's most lucrative export service.	美国3月液化天然气出口增长近16%，创下最高纪录，其中大部分销往欧洲。
1.0370	In July 2021, the U.S. urged Ukraine not to criticise a forthcoming agreement with Germany over the pipeline.	2022年1月，德国一度拒绝向乌克兰提供武器，并阻止爱沙尼亚向乌克兰提供德国制造的榴弹炮。
1.0368	According to Steve Tsang, director of the SOAS China Institute in London, "There is no indication that Xi is trying to get Putin or Russia to make concessions of any sort (and) the Chinese readout (of the call) does not include anything concrete that can start a peace process."In May 2023, European officials reportedly criticized China's peace plan as an attempt at "freezing" the conflict in place and splitting the West in pushing Ukraine cease-fire.	华春莹提到战争一词，未有正面回应中方会否谴责俄罗斯或敦促俄罗斯让步，表示中方不乐见乌克兰局势发展至此，呼吁各方保持克制，借由对话协商缓和事态，避免局势失控，强调中国反对任何煽动战争的行为，也不会主动向任何一方提供武器，并否认“俄罗斯有中国背后支持才行动”的指控。
1.0364	On the other hand, it has stressed respect for Ukraine's territorial integrity.	俄方积极评价中方在乌克兰问题上的客观公正立场。
1.0364	On 30 June 2022, Russia announced that it had withdrawn its troops from the island in a "gesture of goodwill."	7月20日，叙利亚宣布与乌克兰断绝关系，以支持其亲密盟友俄罗斯，称此举是对基辅类似举措的回应。
1.0364	80% of those polled said the country should remain a unitary country.	决议结果以82个国家赞成，14个国家反对，80个国家弃权下成功通过。
1.0362	By 13 July 2022, over 390,000 Ukrainian refugees had arrived in the Czech Republic, where the average refugee was a woman accompanied by one child.	摩尔多瓦共和国总统马娅·桑杜表示，截至2022年2月24日，已有超过4,000名乌克兰公民越境进入摩尔多瓦。
1.0362	By October 2022, three countries—Latvia, Lithuania and Estonia—had declared Russia a "terrorist state."	自2月24日以来，加拿大已对来自俄罗斯、乌克兰和白俄罗斯的1070多名个人和实体实施制裁。
1.0361	In July 2021, Biden and German Chancellor Angela Merkel concluded a deal that the U.S. might trigger sanctions if Russia used Nord Stream as a "political weapon".	2022年1月，在德法俄乌“诺曼底模式”四方会谈首脑政治顾问会议召开前，乌克兰最高拉达撤回一项《关于过渡期的国家政策》方案，里面将俄罗斯认定为“侵略国”，这被视作为谈判释放缓和信号。
1.0357	With the Ukrainian defences of Severodonetsk faltering, Russian invasion troops began intensifying their attack upon the neighbouring city of Lysychansk as their next target city in the invasion.	鉴于俄罗斯对乌克兰攻势，与俄罗斯领土接邻的芬兰与瑞典紧急关注自身和领土的安全而加入北约寻求保护。
1.0356	U.S. officials said that they have not yet seen evidence but have repeatedly warned China against doing so.	“我们已经看到一些迹象表明他们可能正在为此做计划，当然，北约盟国与美国一直在警告不要这样做，因为这是不应该发生的事情。
1.0356	According to Politico, members of the alliance have been wary of discussing Ukraine's potential membership due to "Putin's hyper-sensitivity" on the issue.	当天俄罗斯总统普京表示俄罗斯方面理解中国对乌克兰战争的“疑问和担忧”。
1.0355	In November, NATO stated that it believed Russia was deploying nuclear-capable weapons to Crimea.	10月26日，波兰参议院承认俄罗斯政府为恐怖主义政权。
1.0355	U.S. Secretary of State Antony Blinken questioned China's peace proposal, saying "the world should not be fooled by any tactical move by Russia, supported by China or any other country, to freeze the war on its own terms."On 26 April 2023, Chinese leader Xi Jinping called Ukrainian President Volodymyr Zelenskyy, over a month after Xi's summit with Russia's President Vladimir Putin.	3月20日，美国国务卿布林肯指习近平在国际刑事法院对俄罗斯总统普京发出逮捕令几天后前往俄罗斯，表明中国认为没有责任追究克里姆林宫在乌克兰犯下的暴行的责任，甚至不谴责他们，而是宁愿提供外交掩护俄罗斯继续犯下这些罪行。
1.0354	As broken down by native language, 79% of Russian speakers and 95% of Ukrainian speakers opposed the intervention.	决议结果以获到94个国家投下赞成票，14个国家投了反对票，另有73国家弃权。
1.0354	He tweeted that "warmongers" among Russian state media personalities "should be treated as war criminals.	文章认为，美国等西方国家在俄乌局势最需要抽薪止沸时“热火烹油、双向挤压”，而要求“中国谴责俄罗斯”的观点是“道德绑架”。
1.0353	Twitter paused all ad campaigns in Ukraine and Russia in an attempt to curb misinformation spread by ads.	Twitter随即也以“滥用仇恨和散布政策”删除了这些帖子。
1.0353	On 21 September 2023, Poland said it would cease sending arms to Ukraine after a dispute between the two countries over grain.	2022年9月23日，乌克兰针对已经击落4架伊朗制造的无人机，宣布降低与伊朗的外交关系。
1.0345	According to Erdoğan Ukraine was not prepared to recognise the Russian occupation of Crimea or parts of Luhansk and Donetsk Oblasts.	在承认顿涅茨克共和国和卢甘斯克共和国为国家时，普京还认为乌克兰是俄罗斯历史、文化和精神空间不可分割的一部分。
1.0344	However, the day before, a Ukrainian negotiator was shot amid claims of spying for Russia.	北京时间3月1日傍晚，有中国公民反映，一名中国公民在自行撤离乌克兰途中遭遇枪击受伤。
1.0344	On 11 November, Ukrainian troops entered Kherson, as Russia completed its withdrawal.	俄罗斯帝国治下乌克兰行政归属小罗斯省，1917年十月革命前乌克兰精英认同全罗斯思想。
1.0343	Germany 40%, France 37% and Italy 29%.In fall 2023, US public support for arming Ukraine in its war against Russia significantly decreased.	战争开始后，比利时、捷克、爱沙尼亚、法国、荷兰、葡萄牙和英国宣布将向乌克兰提供武器，支持乌克兰军队和政府。
1.0342	Putin claimed that NATO members had promised in 1990 not to let Eastern European countries join.	普京还指责北大西洋公约组织自21世纪初以来向东扩张，威胁俄罗斯的安全，要求禁止乌克兰加入北约；
1.0341	There have been mass detentions of Ukrainian protesters, and Ukrainian media has reported forced disappearances, mock executions, hostage-taking, extrajudicial killings, and sexual violence perpetrated by the Russian military.	而乌克兰的假消息则侧重于夸大战报，多次宣称击杀、俘虏俄罗斯将领，以及多次谎报关于反攻的计划。
1.0340	The agreement was however blocked by Putin, who "expanded his objectives to include annexing swathes of Ukrainian territory".	普京表示，俄罗斯承认两个共和国宪法规定的边界（部分领土处于乌军控制下），并将向其提供军事援助。
1.0340	More than 1,200 bodies of civilians were found in the Kyiv region after Russian forces withdrew, some of them summarily executed.	在基辅州西部从俄罗斯手中夺回的Buzovaya村中，一个加油站附近发现一个乱葬岗，其中有数十具遭到处决的乌克兰平民的尸体。
1.0339	Many Ukrainian men, including teenagers, opted to remain in Ukraine voluntarily to join the resistance.	无论如何，儿子、父亲等都被留在乌克兰，而女人和小孩逃往邻国避难，家庭就此离散。
1.0338	The Office of the United Nations High Commissioner for Human Rights (OHCHR) reports similar issues and believed that the true civilian casualty numbers were significantly higher than it has been able to confirm.	13000人死亡的数据抄袭自OHCHR的伤亡报告，其中包含了双方的军队，甚至包括了MH17的坠毁，且根据OHCHR报告，顿涅茨克和卢甘斯克的叛军制造了并不少于乌军的罪行。
1.0337	During the second build-up, Russia demanded a treaty that would forbid Ukraine from ever joining NATO, and end all NATO activity in its Eastern European member states.	而相关报道指出，第三轮谈判时俄罗斯表示允许北约有条件东扩，条约签订后叶利钦“取消了针对北约的核武器执勤”俄罗斯自身也多次曾希望加入北约。
1.0332	The European Union, for the first time in its history, supplied lethal arms, and has provided €3.1 billion to Ukraine.	当天，欧盟决定向乌克兰提供价值4.5亿欧元的武器以及5,000万欧元的其他物资，这批军备将会统一运送到波兰。
1.0332	About two-thirds of Russians use television as their primary source of daily news.	俄罗斯军方和媒体浏览BBC实时直播博客时，误认为二者是相关的。
1.0332	In August shelling around Zaporizhzhia power plant became a crisis, prompting an emergency inspection by the IAEA.	并且此次袭击俄罗斯的导弹攻击切断了向扎波罗热核电站的能源供应。
1.0330	On 20–22 March 2023, Xi Jinping visited Russia and met with Vladimir Putin, both in an official and unofficial capacity.	2023年3月，中华人民共和国领导人习近平访问莫斯科与俄罗斯总统弗拉基米尔·普京进行会谈，双方达成乌克兰和平共识与签署两国关系文件。
1.0329	Disinformation (a lie or exaggeration meant to sway opinion) has been spread by the Russian state, state-controlled media, propagandists, and Russian web brigades as part of Russia's invasion of Ukraine.	多家西方媒体揣测此举是对乌克兰的声援——因为在反对俄罗斯入侵乌克兰的抗议活动中，许多个人或机构在使用乌克兰国旗或该国旗的配色来传播此观点。
1.0325	On 12 April several armed groups took cities of Sloviansk, Kramatorsk and then Horlivka, Druzhkivka in subsequent days.	3月11日，物资运抵切尔诺夫策，由当地红十字会人员于12日分发。
1.0324	On 29 August, Zelenskyy advisedly vowed the start of a full-scale counteroffensive in the southeast.	2月28日，泽连斯基签署了要求乌克兰加入欧盟的正式请求。
1.0324	Since the invasion, Russian state-controlled media and pro-Kremlin Telegram channels falsely accused Ukrainian troops of attacking civilian targets in Mariupol and bombing Ukrainian cities.	由顿涅茨克人民共和国（DPR）和卢甘斯克人民共和国（LPR）控制的视频网站和一些亲俄Telegram用户也同样传播有关乌克兰武装部队袭击亲俄武装分子领地内幼儿园的信息。
1.0321	After Ukraine recovered significant territory up to August 2014, Russia intervened with conventional forces, leading to negotiated ceasefires through the Minsk agreements of 2014 and 2015.	在2014年9月和2015年2月，俄乌签署旨在化解乌克兰武装部队和乌克兰东部亲俄武装冲突的《明斯克协议》与《新明斯克协议》，此后主要战争行为结束但仍有冲突发生，俄乌双方多次指责对方违反停火协议。
1.0321	The same day, Zelenskyy indicated he was willing to consider aspects of the proposal, while Russia's foreign ministry stated that it welcomed the Chinese proposal.	泽伦斯基说，他支持中国的一些观点，例如支持乌克兰领土完整的论点。
1.0320	Russia resumed its missile strikes on Odesa on 24 April, destroying military facilities and causing two dozen civilian casualties.	2022年12月24日，俄军在圣诞夜这日轰炸赫尔松市的市中心，商场、居民区、行政大楼受到了袭击，至少8名平民死亡，50名平民受伤。
1.0317	The US adopted a policy of "no boots on the ground" in Ukraine.	并称“中国选择了置身事外的政策。
1.0316	The Russian government announced it was ready for a renewed dialogue, and indeed had always been open to negotiating an end to hostilities.	佩斯科夫表示，俄罗斯已经准备好能够使乌克兰冲突更接近结束和俄罗斯实现其所有目标的事情。
1.0314	This annexation was generally unrecognized and condemned by the countries of the world.	这份方案建基于接受乌克兰被国际社会所认可的边境一点。
1.0313	Reactions to the invasion have included public response, media responses, peace efforts, and the examination of the legal implications of the invasion.	其他评论员表示，中国对入侵的反应在塑造印度反应方面发挥了作用。
1.0311	He falsely claimed that they had "been facing humiliation and genocide perpetrated by the Kyiv regime."	认为原报道“把台湾与乌克兰进行错误类比，还称大陆对台湾做的事情和莫斯科对基辅做的事情相似。”
1.0311	In 2022, Russian state media told stories of genocide and mass graves full of ethnic Russians in eastern Ukraine.	2022年2月中期，俄罗斯总统普京声称乌克兰正在顿巴斯地区实施种族灭绝的行为。
1.0306	As of 21 May 2022, Zelenskyy indicated that Ukraine had 700,000 service members on active duty fighting the Russian invasion.	2022年2月18日，顿涅茨克人民共和国总统杰尼斯·弗拉基米罗维奇·普希林表示将计划安排多达70万平民撤到俄罗斯境内。
1.0305	Since the onset of the conflict, US Congress has sent weapons in the value of 26 billion USD to Ukraine.	纽约时报报导称自俄罗斯入侵乌克兰以来，共有近70家中国出口商向俄罗斯出售了26个不同品牌的中国无人机，总值逾1200万美元。
1.0303	The following day, Yanukovych resurfaced in Russia and in a press conference declared that he remained the acting president of Ukraine, just as Russia was beginning its overt military campaign in Crimea.	乌克兰国会议员Yevheniia Kravchuk随即在同日驳斥俄罗斯媒体传播的关于泽连斯基总统逃往波兰的信息是假新闻，强调总统正在基辅的政府办公室与军队合作。
1.0303	Russian vehicles were subsequently marked with a white Z military symbol (a non-Cyrillic letter), believed to be a measure to prevent friendly fire.	俄军表示现场画有一个许多相交的线组成的魔法印记，内含倒置的布尔什维克标志、无政府状态标志、SS标志和用德语写成的希伯来字母“zain”，意思是剑或武器。
1.0302	Russia threatened an unspecified military response if NATO followed an "aggressive line."	俄罗斯总统府发言人佩斯科夫称如果北约向俄乌边境派兵，俄方“将不得不采取额外措施来确保安全”。
1.0301	On the night of 23 February, Zelenskyy gave a speech in Russian in which he appealed to the citizens of Russia to prevent war.	2023年2月21日，俄乌战争一周年之际，普京在卢日尼基体育场举行了声势浩大的演讲，他将西方描述为侵略者，并且阐明自己的国家不是在向乌克兰人民开战。
1.0300	The 750 kV line and reactor 6 resumed operation at 12:29 p.m., but the line was cut by fire again two hours later.	莫斯科证券交易所于2月24日莫斯科时间08:05暂停其市场的所有交易，于10:00恢复交易。
1.0300	Russian attacks against Ukrainian civilian infrastructure	宣称乌克兰军队抢夺俄语受众穆斯林母女的汽车
1.0298	A video showing an elderly woman holding a Soviet flag to greet the Ukrainian military has been widely spread in Runet since March 2022.	2022年4月，一位哈尔科夫的乌克兰老奶奶将乌军认成了俄军，举着苏联红旗迎接，乌军士兵将食物递给她后，夺下这面苏联旗并高喊“荣耀属于乌克兰！”
1.0298	In August 2022, Zelenskyy said that since the beginning of the war in Ukraine, Xi Jinping had refused all his requests for direct talks with him.	4月5日，布恰大屠杀发生后，乌克兰总统泽连斯基表示，他不会再与俄罗斯就乌克兰去军事化的问题谈判，并表示如果北约向乌克兰发出邀请那么乌克兰就准备加入。
1.0297	Winter stalemate, attrition campaign and military surge (12 November 2022 – 7 June 2023)	第三阶段：乌克兰2022年反攻、俄罗斯并吞乌东四州以及核危机（2022年9月6日—2023年1月16日）
1.0296	On 11 April, Zelenskyy said that Ukraine expected a major new Russian offensive in the east.	2月27日，泽连斯基表示乌克兰已向海牙国际法庭起诉俄罗斯。
1.0291	He said that Russian forces had left Bucha on 30 March while evidence of killings had emerged, according to him, four days later.	俄罗斯国防部在3日发表的声明中称没有任何布恰居民遭受暴力，俄罗斯武装力量在3月28号就开始撤出，30号完成撤出，乌克兰发布的所有指控俄军队“犯罪”的照片和视频都是“挑衅”。
1.0289	Geraint Hughes argues that accusing Ukraine of being NATO's "proxy" insults and belittles Ukrainians; it denies their autonomy and implies they do not really have the will to defend their country.	联合国秘书长安东尼奥·古特雷斯表示该决定侵犯乌克兰的主权和领土完整，不符合《联合国宪章》原则。
1.0287	Zelenskyy described the call as "long and meaningful" and stressed "a just and sustainable peace for Ukraine."	王毅对乌克兰协助撤侨表示感谢，欢迎俄乌和谈，并建立均衡、有效、可持续的欧洲安全机制。
1.0285	The invasion, described as the biggest attack on a European country since the Second World War, began at dawn on 24 February.	最后俄罗斯在2022年2月24日对乌克兰发动全面入侵，造成继第二次世界大战后欧洲最大规模的战争。
